08E_P1_01g쬣sjӁ`__6/5/12ܲ026/5/12 23:00:00 ιq__nbsp;  ,,,,,,,,,,,,
鴁ɶ,\v kW,q_ȼ/td>,ιq׼Ƽ/td>,\] %,I_r,I_s,I_t,V_rs,V_st,V_tr,`b\v kVa,`Lĥ\v kVar
2026/5/12 0:00,78.47,427606.53,80.63,74,2.49,1.78,2.02,23187.67,23001.71,23018.8,105,30.45
2026/5/12 1:00,76.96,427687.16,78.53,75,2.46,1.77,2.05,23000.75,22842.47,22784.79,102.52,28.32
2026/5/12 2:00,79.55,427765.69,78.78,75,2.47,1.77,2.04,23012.3,22877.71,22880.89,105.35,28.37
2026/5/12 3:00,81.29,427844.47,78.03,75,2.51,1.85,2.08,23075.33,22943.81,22880.62,107.43,30.12
2026/5/12 4:00,71.65,427922.5,75.69,74,2.3,1.66,1.84,23073.04,22915.8,22841.35,95.97,29.01
2026/5/12 5:00,89.33,427998.19,74.22,76,2.72,2.05,2.4,23096.21,22938.96,22908.75,117.26,30.12
2026/5/12 6:00,75.29,428072.41,73.75,74,2.41,1.69,2.07,23060.34,22900.64,22926.73,101.68,28.34
2026/5/12 7:00,72.44,428146.16,123.5,75,2.23,1.59,1.88,22925.66,22736.35,22603.56,95.97,25.54
2026/5/12 8:00,137.74,428269.66,133,76,4.2,3.34,3.66,22803.88,22575.96,22524.5,179.54,51.53
2026/5/12 9:00,137.85,428402.66,134.09,78,3.92,3.18,3.35,22674.71,22424.69,22496.28,175.21,45.61
2026/5/12 10:00,140.54,428536.75,146.34,77,4.29,3.37,3.66,22709.46,22451.41,22498.94,180.65,47.32
2026/5/12 11:00,140.82,428683.09,147,77,4.31,3.4,3.67,22658.86,22403.53,22394.83,180.89,47.3
2026/5/12 12:00,139.16,428830.09,143.69,78,4.11,3.42,3.59,22781.39,22516.11,22482.19,178.06,51.89
2026/5/12 13:00,145.81,428973.78,147.41,77,4.45,3.53,3.8,22768.29,22517.44,22556.95,187.52,50.13
2026/5/12 14:00,149.12,429121.19,154.97,77,4.57,3.66,3.81,22991.48,22709.29,22778.5,191.61,53.34
2026/5/12 15:00,157.9,429276.16,154.84,77,4.87,3.86,4.05,23176.76,22904.28,22928.14,203.97,56.49
2026/5/12 16:00,153.47,429431,157.31,78,4.62,3.76,3.88,23237.53,22974.24,22991.35,196.61,56.2
2026/5/12 17:00,153.71,429588.31,154.57,77,4.67,3.82,3.94,23216.02,22947.9,22914.4,197.52,57.91
2026/5/12 18:00,157.03,429742.88,150,77,4.74,3.79,3.99,23292.21,23058.22,23084.26,203.53,59.58
2026/5/12 19:00,148.98,429892.88,149.75,77,4.54,3.66,3.74,23209.21,22972.12,22929.75,192.48,57.15
2026/5/12 20:00,153.95,430042.63,148.5,76,4.72,3.75,4.04,23274.09,23034.51,22958.72,201.27,58.91
2026/5/12 21:00,139.87,430191.13,144.65,76,4.29,3.42,3.59,23252.19,23026.8,23026.76,182.86,56.81
2026/5/12 22:00,131.47,430335.78,96.88,75,4.04,3.23,3.4,23272.61,23060.1,23098.34,173.05,56.47
2026/5/12 23:00,81.96,430432.66,85.34,73,2.62,1.88,2.12,23342.89,23185.12,23095.74,111.19,35