"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度_自動(km)","紫外線指數","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","VisbMean Auto","UVI","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.4","1012.9","23.8","21.7","88","2.9","100","7.1","92","0.0","0.0","0.0","0.00","72.2","0","10.0","/","/","/","/","/","/","/"
"02","1008.7","1012.2","23.5","22.0","91","3.0","100","6.8","92","0.5","0.4","0.0","0.00","10.2","0","10.0","/","/","/","/","/","/","/"
"03","1008.4","1011.9","23.7","22.0","90","2.3","103","6.6","117","0.0","0.0","0.0","0.00","73.4","0","10.0","/","/","/","/","/","/","/"
"04","1008.4","1011.9","23.9","22.2","90","2.2","99","6.1","97","0.0","0.0","0.0","0.00","74.5","0","10.0","/","/","/","/","/","/","/"
"05","1008.5","1012.0","24.0","22.3","90","2.1","103","6.2","34","0.0","0.0","0.0","0.00","74.8","0","10.0","/","/","/","/","/","/","/"
"06","1009.0","1012.5","24.2","22.5","90","1.1","137","3.9","64","0.0","0.0","0.0","0.02","74.8","0","10.0","/","/","/","/","/","/","/"
"07","1009.6","1013.1","24.5","22.6","89","0.9","120","4.0","144","0.0","0.0","0.0","0.13","74.4","0","10.0","/","/","/","/","/","/","/"
"08","1009.8","1013.3","25.1","23.0","88","1.7","131","4.8","153","0.0","0.0","0.0","0.30","73.4","1","10.0","/","/","/","/","/","/","/"
"09","1009.9","1013.4","25.7","23.2","86","2.2","113","5.3","124","0.0","0.0","0.0","0.44","70.1","1","10.0","/","/","/","/","/","/","/"
"10","1009.7","1013.2","26.1","23.0","83","2.2","96","6.0","100","0.0","0.0","0.0","0.63","69.6","2","10.0","/","/","/","/","/","/","/"
"11","1009.4","1012.9","26.3","23.4","84","2.7","63","6.4","101","T","0.1","0.0","0.61","29.7","2","10.0","/","/","/","/","/","/","/"
"12","1009.1","1012.6","25.8","23.1","85","1.6","94","8.0","48","0.0","0.0","0.0","0.76","74.1","3","10.0","/","/","/","/","/","/","/"
"13","1008.5","1012.0","25.6","22.7","84","2.4","88","8.4","107","0.0","0.0","0.0","0.76","74.3","3","10.0","/","/","/","/","/","/","/"
"14","1008.6","1012.1","23.8","23.1","96","2.1","87","7.9","103","14.5","0.8","0.0","0.20","1.1","1","10.0","/","/","/","/","/","/","/"
"15","1008.4","1011.9","23.8","23.0","95","2.5","121","7.7","86","10.5","0.8","0.0","0.29","2.4","1","10.0","/","/","/","/","/","/","/"
"16","1008.3","1011.8","23.4","22.6","95","2.7","98","8.1","87","9.5","0.9","0.0","0.30","3.5","1","10.0","/","/","/","/","/","/","/"
"17","1008.5","1012.0","23.0","21.8","93","4.1","101","9.9","100","1.0","0.4","0.0","0.16","9.8","0","10.0","/","/","/","/","/","/","/"
"18","1009.2","1012.7","22.3","21.3","94","2.8","95","9.5","114","0.5","0.3","0.0","0.04","5.0","0","10.0","/","/","/","/","/","/","/"
"19","1009.7","1013.2","22.2","21.2","94","3.3","120","8.5","141","1.5","0.6","0.0","0.01","4.7","0","10.0","/","/","/","/","/","/","/"
"20","1010.1","1013.7","21.5","20.8","96","2.9","110","10.4","111","3.5","0.9","0.0","0.00","3.5","0","10.0","/","/","/","/","/","/","/"
"21","1010.4","1014.0","21.7","20.9","95","2.5","107","8.4","122","1.5","0.6","0.0","0.00","7.5","0","10.0","/","/","/","/","/","/","/"
"22","1010.6","1014.2","21.7","21.0","96","2.3","98","5.9","95","1.0","0.6","0.0","0.00","4.4","0","10.0","/","/","/","/","/","/","/"
"23","1010.0","1013.6","22.0","21.2","95","2.0","98","6.3","88","0.5","0.3","0.0","0.00","27.8","0","10.0","/","/","/","/","/","/","/"
"24","1009.2","1012.7","22.2","21.4","95","2.8","97","6.9","72","T","0.2","0.0","0.00","11.5","0","10.0","/","/","/","/","/","/","/"